ip.src,ip.dst,ipv6.src,ipv6.dst,tcp.srcport,tcp.dstport,tls.handshake.type,tls.record.version,tls.handshake.version,tls.handshake.ciphersuite,frame.protocols
,,"2600:1702:50b1:8e00:cdb6:1041:ff5:be66","2a03:2880:f351:18d:face:b00c:0:32c2","12647","443","1","0x0301","0x0303","0xc02f,0xc02b,0xc030,0xc02c,0x009e,0x00a2,0x00a3,0x009f,0xc027,0xc023,0xc028,0xc024,0x0067,0x0040,0x006b,0x00ff","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12626","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2600:1702:50b1:8e00:cdb6:1041:ff5:be66","2a03:2880:f351:18d:face:b00c:0:32c2","12649","443","1","0x0301","0x0303","0xc02f,0xc02b,0xc030,0xc02c,0x009e,0x00a2,0x00a3,0x009f,0xc027,0xc023,0xc028,0xc024,0x0067,0x0040,0x006b,0x00ff","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12622","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2600:1702:50b1:8e00:cdb6:1041:ff5:be66","2a03:2880:f351:18d:face:b00c:0:32c2","12650","443","1","0x0301","0x0303","0xc02f,0xc02b,0xc030,0xc02c,0x009e,0x00a2,0x00a3,0x009f,0xc027,0xc023,0xc028,0xc024,0x0067,0x0040,0x006b,0x00ff","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12624","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12623","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12625","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12628","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12627","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12631","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12629","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12632","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12630","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12633","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12635","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12634","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12637","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12636","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12638","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12642","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12643","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12644","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12648","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2600:1702:50b1:8e00:cdb6:1041:ff5:be66","2a03:2880:f351:18d:face:b00c:0:32c2","12651","443","1","0x0301","0x0303","0xc02f,0xc02b,0xc030,0xc02c,0x009e,0x00a2,0x00a3,0x009f,0xc027,0xc023,0xc028,0xc024,0x0067,0x0040,0x006b,0x00ff","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12645","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2600:1702:50b1:8e00:cdb6:1041:ff5:be66","2a03:2880:f351:18d:face:b00c:0:32c2","12652","443","1","0x0301","0x0303","0xc02f,0xc02b,0xc030,0xc02c,0x009e,0x00a2,0x00a3,0x009f,0xc027,0xc023,0xc028,0xc024,0x0067,0x0040,0x006b,0x00ff","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12646","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12639","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12640","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12641","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12647","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2600:1702:50b1:8e00:cdb6:1041:ff5:be66","2a03:2880:f351:18d:face:b00c:0:32c2","12653","443","1","0x0301","0x0303","0xc02f,0xc02b,0xc030,0xc02c,0x009e,0x00a2,0x00a3,0x009f,0xc027,0xc023,0xc028,0xc024,0x0067,0x0040,0x006b,0x00ff","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12649","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12650","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12651","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12652","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:18d:face:b00c:0:32c2","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12653","2","0x0303","0x0303","0xc02f","eth:ethertype:ipv6:tcp:tls"
,,"2600:1702:50b1:8e00:cdb6:1041:ff5:be66","2600:1901:1:7c5::",,,"1",,"0x0303","0x1301,0x1302,0x1303","eth:ethertype:ipv6:udp:quic:tls"
,,"2600:1901:1:7c5::","2600:1702:50b1:8e00:cdb6:1041:ff5:be66",,,"2",,"0x0303","0x1301","eth:ethertype:ipv6:udp:quic:tls"
